Loss,Compute_Time_s,Entropy
0.00990855,9, 2.81251
0.0100304,9, 2.63365
0.0108045,9, 2.47769
0.0112239,9, 2.33445
0.0130357,9, 2.19788
0.0154039,9, 2.06659
0.0168996,9, 1.94095
0.0172366,9, 1.82157
0.0179012,9, 1.70893
0.0205578,9, 1.6033
0.022066,9, 1.50408
0.0255068,9, 1.41272
0.0266188,9, 1.32685
0.0286766,9, 1.24742
0.0301496,9, 1.17365
0.0301456,9, 1.10519
0.0303329,9, 1.04182
0.0323466,9, 0.983943
0.0356698,9, 0.930466
0.0392813,9, 0.880786
0.0449799,9, 0.834393
0.0476325,9, 0.791239
0.0529339,9, 0.751112
0.0567501,9, 0.71411
0.0606934,9, 0.679372
0.0640413,9, 0.646692
0.0708691,9, 0.61647
0.0763069,9, 0.588008
0.0853952,9, 0.562093
0.0886827,9, 0.537682
0.0919617,9, 0.514167
0.0968561,9, 0.492623
0.0991067,9, 0.471881
0.10334,9, 0.453183
0.109518,9, 0.435837
0.114555,9, 0.419602
0.116342,9, 0.403819
0.119572,9, 0.388684
0.120122,9, 0.374716
